price;Item number;Item name
463;AJ-S70KXP-014;CLUTCH ASSY
464;BD-W80MV-091;WATER VALVE MGV-301-204
465;BD-W80MV-212;DOOR ASSY (BD) BK(BD-W80MV-208)
466;CO01020103210;SAFETY GAS VALVE 27
467;CO01020103211;SAFETY GAS VALVE 34
468;CO01020103212;SAFETY GAS VALVE 44
469;CO01640106022;BURNER 60
470;CO01640109110;SABAF BASE BURNER 95
471;CV-3160-909;MOTOR ASSY
472;CV-7180-906;SWITCH PEDAL
473;CV-950G-904;MOTOR ASSY-127V(DS)
474;CV-970BL-906;R&F TOOL ASSY
475;CV-970BR-906;TELESCOPIC EXT. PIPE
476;CV-980BRJ-902;MOTOR ASSY 240V
477;CV-S960-908;RUG & FLOOR TOOL
478;CV-SH20V-938;HOSE ASSY (CV-2500-979)
479;CV-SH20V-940;HOSE ASSY 1.5M
480;CV-SK21V-911;HOSE COUPLING ASSY
481;E.01.59SPB843;MAINBOARD FOR 43''TV
482;EGAS80HLR-220V;EMBRACO R134A-1/4+ HP-220V/50-60HZ
483;EM55NR-220V;EMBRACO COMPRESSOR 1/6HP-220V
484;H20-15-120-008;PLASTIC KNOB FRAME 90X60 BLACK HIDE
485;H25-55-100-004;SPRING KNOB Z
486;H40-10-120-005;GAS VALVE 0.70MM W/THERMOCOUPLE UP WAY
487;H40-10-120-013;GAS VALVE OVEN (TOP OUTPUT) 30
488;H40-10-120-014;GAS VALVE OVEN (TOP OUTPUT)35
489;H40-10-120-015;GAS VALVE FOR OVEN (TOP OUTPUT) 45
490;H40-10-120-019;GAS VALVE FOR OVEN (TOP OUTPUT) 60
491;HSRV-TOOL-SWRB;SOCKET WRENCH BIG GERMANY
492;HSRV-TOOL-TCU-B;TUBE CUTTER BIG
493;M00224769;KNOB SPRING
494;M0022476901;SPRING (M00224731)
495;M00382000;HINGE CONNECTOR (M00039805601)(M00380023)(452022900)
496;M00387292;KNOB RING
497;M00388038;RING
498;M00389920;TRIPLE RING
499;M00389921;MICRO TRIPLE CAP
500;M00395890;HANDLE
501;M00396422;KNOBS
502;M00396440;KNOB
503;M00396513;OVEN KNOB
504;M00396514;OVEN KNOB
505;M00396541;KNOBS
506;M00396542;KNOBS
507;M00396543;KNOBS
508;M00396589;KNOB
509;M00398591;THERMOSTAT
510;M00398853;TAP SX NOFAST D16 BP70 GRIL96N
511;M00399003;TAP
512;M00399004;TAP
513;M00399005;TAP
514;M00399006;TAP
515;M00460612;BURNER
516;M00460616;BURNER (M00460613)(M00460616)
517;M00460617;BURNER (M00460614)(M00460626)
518;NH1101L00000000;WASH & SPIN TUB ASSY(S1101L09LTT00)
519;PTPS-100AS-912;PULSATOR (PS99) PTPS-1100KJP-004
520;PTPS-100LJ-003;SPIN BASKET ASSY
521;PTPS-100LJ-009;V BELT LHM2-36.5(PTPS-100AS-915)
522;PTPS-105DSJP-938;WASH MOTOR ASSY 120W
